,claim_id,decision_true,decision_pred,reasoning_true,reasoning_pred
0,1,DENY,DENY,NA,Policy covers the claim
1,2,DENY,DENY,NA,Policy covers the claim
2,3,APPROVE,DENY,NA,Policy covers the claim
3,4,DENY,DENY,NA,Policy covers the claim
4,5,APPROVE,DENY,NA,Policy covers the claim
5,6,UNCERTAIN,DENY,NA,Policy covers the claim
6,7,DENY,DENY,NA,Policy covers the claim
7,8,DENY,DENY,NA,Policy covers the claim
8,9,APPROVE,DENY,NA,Policy covers the claim
9,10,DENY,DENY,NA,Policy covers the claim
10,11,APPROVE,DENY,NA,Policy covers the claim
11,12,APPROVE,DENY,NA,Policy covers the claim
12,13,UNCERTAIN,DENY,NA,Policy covers the claim
13,14,DENY,DENY,NA,Policy covers the claim
14,15,DENY,DENY,NA,Policy covers the claim
15,16,APPROVE,DENY,NA,Policy covers the claim
16,17,DENY,DENY,NA,Policy covers the claim
17,18,DENY,DENY,NA,Policy covers the claim
18,19,APPROVE,DENY,NA,Policy covers the claim
19,20,UNCERTAIN,DENY,NA,Policy covers the claim
20,21,DENY,DENY,NA,Policy covers the claim
21,22,DENY,DENY,NA,Policy covers the claim
22,23,UNCERTAIN,DENY,NA,Policy covers the claim
23,24,UNCERTAIN,DENY,NA,Policy covers the claim
24,25,DENY,DENY,NA,Policy covers the claim
